brand_name,corp_name,year,startup_cost_만원,avg_sales_만원,store_count,closure_rate_percent,new_store_count,contract_end_count,contract_cancel_count,business_years,page_url
만년닭강정,(주)만년푸드,2023,51050,403107,28,35.71,7,0,10,7년 6개월,https://jshj.net/brands/%EB%A7%8C%EB%85%84%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20160892
지랄닭발,(주)더기푸드,2023,58300,342670,39,5.13,1,0,2,5년 2개월,https://jshj.net/brands/%EC%A7%80%EB%9E%84%EB%8B%AD%EB%B0%9C-BRD_20190770
치밥대장숯불양념92치킨,(주)괴짜푸드컴퍼니,2023,49420,0,0,,0,0,0,3년 3개월,https://jshj.net/brands/%EC%B9%98%EB%B0%A5%EB%8C%80%EC%9E%A5%EC%88%AF%EB%B6%88%EC%96%91%EB%85%9092%EC%B9%98%ED%82%A8-BRD_20210097
야들리애,(주)제이케이글로벌,2023,124220,196570,38,13.16,15,0,5,16년 1개월,https://jshj.net/brands/%EC%95%BC%EB%93%A4%EB%A6%AC%EC%95%A0-BRD_20090100067
종국이두마리치킨,종국이두마리치킨체인본부,2023,17400,162601,43,16.28,2,7,0,21년 0개월,https://jshj.net/brands/%EC%A2%85%EA%B5%AD%EC%9D%B4%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20080600013
배통,(주)배통,2023,38950,187785,25,0,23,0,0,2년 6개월,https://jshj.net/brands/%EB%B0%B0%ED%86%B5-BRD_20212206
치킨인류,(주)비에스비푸드,2023,39500,242218,36,61.11,21,2,20,3년 6개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EC%9D%B8%EB%A5%98-BRD_20201254
천년닭강정,(주)그남자네식품,2024,48100,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EC%B2%9C%EB%85%84%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20240072
치순이통닭,유림에프앤비(유),2023,55000,161960,27,0,7,0,0,5년 11개월,https://jshj.net/brands/%EC%B9%98%EC%88%9C%EC%9D%B4%ED%86%B5%EB%8B%AD-BRD_20180747
진미대왕통닭,베스트프랜차이즈컨설팅,2023,39300,233933,37,27.03,47,2,8,6년 4개월,https://jshj.net/brands/%EC%A7%84%EB%AF%B8%EB%8C%80%EC%99%95%ED%86%B5%EB%8B%AD-BRD_20180608
씨에프숯불바베큐치킨,(주)씨에프,2023,39050,54573,30,0,0,0,0,28년 3개월,https://jshj.net/brands/%EC%94%A8%EC%97%90%ED%94%84%EC%88%AF%EB%B6%88%EB%B0%94%EB%B2%A0%ED%81%90%EC%B9%98%ED%82%A8-BRD_20080200112
오부장치킨,(주)본에스디코리아,2023,29100,178505,32,12.5,2,1,3,8년 11개월,https://jshj.net/brands/%EC%98%A4%EB%B6%80%EC%9E%A5%EC%B9%98%ED%82%A8-BRD_20150724
신화불닭발,신화,2023,54900,0,29,0,4,0,0,4년 5개월,https://jshj.net/brands/%EC%8B%A0%ED%99%94%EB%B6%88%EB%8B%AD%EB%B0%9C-BRD_20191266
아이벗 치킨,아이프랜드,2023,37200,169222,35,14.29,3,0,5,9년 5개월,https://jshj.net/brands/%EC%95%84%EC%9D%B4%EB%B2%97%20%EC%B9%98%ED%82%A8-BRD_20141157
허갈닭강정,(주)유성에프앤비,2023,19300,67123,37,21.62,0,0,8,6년 1개월,https://jshj.net/brands/%ED%97%88%EA%B0%88%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20180793
당신은지금치킨이땡긴다,(주)바이포엠에프앤티(BY4MFNTCorp.),2023,86960,141159,84,28.57,50,0,24,3년 1개월,https://jshj.net/brands/%EB%8B%B9%EC%8B%A0%EC%9D%80%EC%A7%80%EA%B8%88%EC%B9%98%ED%82%A8%EC%9D%B4%EB%95%A1%EA%B8%B4%EB%8B%A4-BRD_20211217
